date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,conservative_portfolio_value,conservative_portfolio_return
2021-01-13,647541.5100293738,399458.92808282754,24244.67055951947,0.0,57222.54196251117,1128467.650634232,0.003312394335794666
2021-01-14,647310.9688394369,398060.08115351055,24417.03490397199,0.0,56723.00665006968,1126511.091546989,-0.0017338193843158267
2021-01-15,647945.1115026284,395157.1462546333,23993.958339570832,0.0,56393.82896357763,1123490.0450604102,-0.0026817725180408036
2021-01-19,649040.2890408124,398259.9689469988,24209.41008899048,0.0,57024.56236426427,1128534.230441066,0.004489746395914596
2021-01-20,649328.3586422502,403771.2373570925,24362.189100633863,0.0,58269.9411700796,1135731.726270056,0.00637773816233933
2021-01-21,649040.2890408124,404139.3971853932,24452.288830241418,0.0,58615.235561468086,1136247.2106179153,0.0004538786193390987
2021-01-22,649155.4883784585,402708.9344974004,24276.007746440046,0.0,58585.30966475657,1134725.7402870555,-0.0013390310811256523
2021-01-25,650308.3368427879,404297.20861506247,24119.313631512705,0.0,59045.696205495704,1137770.5552948588,0.0026833047843199953
2021-01-26,650423.4886755527,403666.1968396316,24217.24847588285,0.0,58978.94340483245,1137285.8773958995,-0.00042598913876235045
2021-01-27,650653.9823606081,393800.3422686716,23641.39289983831,0.0,57526.3980124525,1125622.1155415706,-0.010255787121032367
2021-01-28,650135.3715692332,397187.0383798449,23845.0960672763,0.0,57756.5858998211,1128924.0919161756,0.002933467927659139
2021-01-29,648982.4756000225,389235.5748114924,23386.76230447593,0.0,56658.55418515316,1118263.3669011442,-0.0094432611469355
2021-02-01,652031.7930415905,395714.63300988794,23692.318691697805,0.0,57894.71729331228,1129333.4620364886,0.009899363122321647
2021-02-02,649733.4802717129,401310.1209885471,23943.027639516662,0.0,58767.15820343778,1133753.7871032143,0.00391410085268773
2021-02-03,648462.6296817287,401625.71042742184,23966.534619869322,0.0,58608.32378822593,1132663.1985172457,-0.0009619271824045095
2021-02-04,648924.709664114,406190.44446413737,23986.124860873133,0.0,59259.78533130442,1138361.064320429,0.005030503163378386
2021-02-05,648809.3203069419,407789.17918694264,24142.817339735582,0.0,59568.24923007386,1140309.5660636937,0.001711672864029179
2021-02-08,648578.2090584269,410734.12360871147,24209.41008899048,0.0,59851.391492292576,1143373.1342484215,0.002686610965917824
2021-02-09,649040.3365456938,410460.6439541195,24350.437246522422,0.0,59874.40920442924,1143725.826950765,0.00030846684409402414
2021-02-10,650079.9333725186,410281.8110527726,24240.75054804084,0.0,59708.66660464253,1144311.1615779744,0.0005117787964707965
2021-02-11,649329.0237105913,410944.50542780675,24432.70186136739,0.0,59945.77344258792,1144652.004442353,0.00029785855091080116
2021-02-12,647769.5809654726,412974.46439394576,24581.564133661923,0.0,60314.0927234477,1145639.702216528,0.0008628803953880659
2021-02-16,644708.3188964993,412616.8654321794,24816.60612408538,0.0,60001.02815318478,1142142.818605949,-0.0030523415030164758
2021-02-17,645632.4313563888,412711.5121854245,24558.058789374154,0.0,59879.01346459004,1142781.0157957776,0.0005587717923118962
2021-02-18,645805.6816592324,410955.03287387744,24487.546028640627,0.0,59598.175126785376,1140846.4356885357,-0.0016928703579265347
2021-02-19,643784.0639219653,410229.30750427407,24538.471820500123,0.0,59310.43578174048,1137862.2790284802,-0.0026157391272861874
2021-02-22,642166.9027458199,407073.9478429462,24464.043956482637,0.0,57970.678614297125,1131675.573159546,-0.005437130646616217
2021-02-23,642166.9027458199,407568.236501313,24475.795810594078,0.0,57906.21897204599,1132117.1540297728,0.00039020093806052536
2021-02-24,641647.151837289,412059.44551785226,24675.578966553436,0.0,58274.53825290577,1136656.7145746003,0.004009797509620716
2021-02-25,636968.4910677627,402130.5265318593,24264.252620198826,0.0,56474.39095605596,1119837.6611758769,-0.014796950726691516
2021-02-26,641762.6362042242,400058.4577814375,23990.03996415709,0.0,56624.01685094623,1122435.150800765,0.002319523369271881
2021-03-01,643079.1180831855,409756.00689712126,24409.1997892094,0.0,58161.74643930187,1135406.071208818,0.011556053281830181
2021-03-02,642341.5781951086,406558.50403104693,24491.464404054368,0.0,57328.42559154022,1130719.9722217503,-0.0041272449618650064
2021-03-03,639910.4683792805,401173.397871483,24326.933538299545,0.0,55845.957891116064,1121256.7576801793,-0.008369193765081162
2021-03-04,637248.0572954114,396208.92166825465,24040.9641199517,0.0,54798.55509488033,1112296.498178498,-0.007991264659327202
2021-03-05,638579.3340946682,403497.85796389164,24209.41008899048,0.0,55726.25071560269,1122012.852863153,0.0087353998691595
2021-03-08,636264.0411799458,401488.8870489666,24178.0729020699,0.0,54437.1439985954,1116368.1451295777,-0.005030876178620525
2021-03-09,637248.0572954114,407221.2318265448,24554.142050025304,0.0,56248.807328848154,1125272.2385008296,0.007975947190985488
2021-03-10,638058.3005543367,409756.00689712126,24718.668007585453,0.0,56145.21326956391,1128678.1887286073,0.0030267788640332416
2021-03-11,638695.0084811294,413910.5381621807,24945.878155376104,0.0,57335.33736478238,1134886.7621634686,0.005500747242980664
2021-03-12,634354.2024288567,414467.9914969716,24930.211197980705,0.0,57066.00429437874,1130818.4094181876,-0.003584809410875023
2021-03-15,635627.3807580346,416939.73557297874,24894.953999581496,0.0,57613.87177817299,1135075.9421087678,0.0037650012195775684
2021-03-16,635974.6414418259,416413.7977354725,24926.292822566964,0.0,57738.17962517985,1135052.9116250454,-2.0289817507457286e-05
2021-03-17,634238.385527751,417833.76639785833,25055.56812598747,0.0,57768.10552189136,1134895.825573488,-0.00013839535580106865
2021-03-18,631633.6453700272,411754.41694551194,24746.091727286963,0.0,56375.40833426714,1124509.5623770931,-0.009151732663345014
2021-03-19,632386.2177028072,412392.0628166724,24761.763592877032,0.0,56531.94959106688,1126071.9937034235,0.001389433561620912
2021-03-22,633196.6034763771,414274.2530688071,24964.938350620814,0.0,57337.63770052912,1129773.4325963343,0.0032870357433696373
2021-03-23,634585.5987066608,411013.5855263087,24486.760717492987,0.0,57139.66527961684,1127225.6102300794,-0.0022551622234554536
2021-03-24,636495.5799723944,408924.2049756818,24443.481892933625,0.0,56400.72279348323,1126263.989634493,-0.0008530861851073768
2021-03-25,636206.132729393,411224.669175142,24569.37872235439,0.0,56301.75093769634,1128301.9315645855,0.001809470913434863
2021-03-26,635453.750416139,417851.47924362804,24895.919277867135,0.0,57265.17446889294,1135466.323406527,0.006349711581196127
2021-03-29,634180.4770771981,417640.4624357222,24801.498700882676,0.0,57145.68706336572,1133768.1252771688,-0.0014955953288543489
2021-03-30,633775.3079428539,416532.440381666,24825.102209063898,0.0,56855.14855781778,1131987.9990914017,-0.001570097223655753
2021-03-31,633543.7691504053,418220.87562908634,24785.761392696968,0.0,57648.35528237025,1134198.761454559,0.0019529909901268017
2021-04-01,636947.8530470423,422737.21683434036,25183.123925207623,0.0,58492.29858537426,1143360.4923919644,0.008077711992610537
2021-04-05,635689.8496772118,428804.8022834586,25615.890901957668,0.0,59566.81376314921,1149677.3566257774,0.005524822902178261
2021-04-06,636153.9248646206,428551.5754298788,25383.7676512996,0.0,59532.22618759992,1149621.4941333989,-4.858971263255185e-05
2021-04-07,636385.8912010026,429047.50169096765,25438.845775852238,0.0,59709.782680176446,1150582.0213479989,0.0008355160541984041
2021-04-08,637603.7738481103,431084.07790892257,25615.890901957668,0.0,60353.1015371249,1154656.8441961154,0.00354153182694672
2021-04-09,637081.7902101488,434218.148734863,25647.367154393974,0.0,60894.98312384338,1157842.289223249,0.0027587807088707006
2021-04-12,636559.8065721872,434376.46147148794,25529.333252838944,0.0,60881.15957735906,1157346.7608738733,-0.00042797568717956036
2021-04-13,638357.9138419799,435663.8845747742,25686.70469863112,0.0,61529.09346047025,1161237.5965758555,0.0033618582031926803
2021-04-14,638299.910381664,434176.0055301165,25698.50563468929,0.0,60950.31319645379,1159124.7347429236,-0.001819491410855134
2021-04-15,641084.0289719454,438840.06518499734,25922.759413222055,0.0,61937.20388448116,1167784.057454646,0.007470570208859328
2021-04-16,640561.9028193393,440306.9227579774,26229.63119661623,0.0,61981.04304435979,1169079.499818293,0.001109316705753205
2021-04-19,639343.9251624686,438143.6161416096,26245.366868737045,0.0,61476.052957604654,1165208.96113042,-0.0033107574707061938
