date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,growth_portfolio_value,growth_portfolio_return
2020-06-22,170523.1984056457,376284.6880156589,148213.93210690634,79106.51213881793,272045.736847153,1046174.0675141818,0.007671554969945316
2020-06-23,170308.58643192722,378016.9719895547,147992.2293461941,79936.17802200453,273816.012077301,1050069.9778669814,0.0037239599735603424
2020-06-24,170247.3254940225,368374.21949741227,143837.25849841637,79086.19952350002,267105.1754952518,1028650.178508603,-0.020398449446091815
2020-06-25,170538.58093870402,372323.379856775,146087.87435414293,79032.3913890237,270746.9937258432,1038729.2202644888,0.00979831819063981
2020-06-26,170921.68292452116,363480.16991394985,143635.28628763297,78006.83731361362,264227.5308380911,1020271.5072778089,-0.017769513581200824
2020-06-29,171166.99587046853,368822.4461321419,145279.97324052264,78455.51474276124,266565.90645833616,1030290.8364442305,0.009820257740171812
2020-06-30,171044.38426321626,373546.8534417795,145222.26514165787,78038.88381276661,271421.5671189793,1039273.9537783996,0.008719011192191095
2020-07-01,171556.58415772527,376163.52050733555,146318.6944791154,79128.54410698559,275369.35236846213,1048536.6956196239,0.00891270468921923
2020-07-02,171121.18155950986,378235.05021802,147703.6765813835,80987.3666526364,276868.69039391814,1054915.965405468,0.006083973801292997
2020-07-06,171290.18432271047,384073.98902558215,150329.41348546118,84512.7459695231,282522.19792594766,1072728.5307292244,0.01688529314930798
2020-07-07,171505.2577724207,380112.75848842046,148021.07726038317,83198.7469607303,280651.4543657439,1063489.2948476984,-0.008612836907810562
2020-07-08,171489.9008769175,383020.08009268035,149925.4567934077,85442.15393722277,284062.791270818,1073940.3829710463,0.009827168147324539
2020-07-09,171843.21202371173,380839.56948405487,147761.3846802483,85506.26015603167,285493.37760791817,1071443.8039519647,-0.0023246905123119888
2020-07-10,171797.115699647,384728.0296566726,149175.25150816553,84993.48311832664,286139.8544921009,1076833.7344749128,0.005030530302259084
2020-07-13,171827.8166718759,381396.7770167255,148309.64229568045,84416.60647206416,280376.3614843051,1066327.2039406511,-0.009756873505996522
2020-07-14,172181.19191255784,386339.2625548284,150791.0660058928,84416.60647206416,283787.6983893792,1077515.8253347224,0.010492671810981902
2020-07-15,172242.60667579315,389888.63223410194,152580.02934118776,84544.79907892755,285066.9147392757,1084322.982069286,0.006317454068434758
2020-07-16,172319.41679086428,388604.691327519,152089.50436559375,83391.04578640261,283031.1499014148,1079435.8081717945,-0.004507120090883832
2020-07-17,172196.57444561616,389731.1765706594,153012.8216769436,83711.53060868682,284076.52868928685,1082728.6319911927,0.0030505045269668685
2020-07-20,172595.95627892003,392880.87200242694,154253.56420826647,84897.33701061622,290912.9829819116,1095540.7124821413,0.011833140929677466
2020-07-21,172595.95627892003,393716.6638960024,154628.66071564422,85634.45276289506,288120.6265920786,1094696.3602455403,-0.0007707173516975363
2020-07-22,172826.38662413348,395957.7970696506,155580.8504821565,85217.82844315191,290115.17917453294,1099698.0417936253,0.00456901267760057
2020-07-23,173010.75910161485,391233.35094915197,154109.26328488783,84608.89207723351,283292.4838323809,1086254.749245269,-0.012224530768855546
2020-07-24,173195.09312276356,388713.5169820157,152984.02284470128,84448.64636096566,281875.6995097611,1081216.9788202073,-0.004637743060329047
2020-07-27,172964.62432121747,391548.33989775926,154715.22899918474,85698.54576120102,286084.7971582061,1091011.5361375685,0.00905882677503711
2020-07-28,173149.00961747637,389064.9493291866,153936.16352926684,84833.22418155584,283264.98746343935,1084248.334120925,-0.006199019710265152
2020-07-29,173579.18215445196,393849.97920384695,155955.93471904757,86115.19652195009,287199.05682645715,1096699.3494257536,0.01148354570904031
2020-07-30,173579.18215445196,392444.7155454963,153791.87487637484,85153.72883459448,288079.37127266434,1093048.872683582,-0.003328602997788921
2020-07-31,173748.12082376482,395545.85859004024,150531.3856962446,84576.83896782906,292494.8531782,1096897.0572560788,0.003520596991284597
2020-08-03,174225.81985017864,398295.84096344083,153503.37119351097,85153.72883459448,296511.45471205027,1107690.2155537752,0.009839718528095842
2020-08-04,173969.84721902278,399834.1870644694,154022.74408329403,86179.28291000456,296979.10830409545,1110985.1695808861,0.0029746168927415884
2020-08-05,174077.62750065132,402317.61644390307,155003.757223022,86980.50488109232,298671.0285721617,1117050.5346208303,0.005459447349987823
2020-08-06,174093.02285248716,405006.93744141987,155176.89379010303,87204.84359566611,301724.71889296075,1123206.416572637,0.005510835688285365
2020-08-07,174108.40538554548,405297.7084127069,154397.84059067178,85281.92144145787,298712.3054235798,1117798.181253962,-0.004814996815258321
2020-08-10,174108.40538554548,406509.11181991245,154657.4963593466,85313.97455086233,297460.56391062104,1118049.552026288,0.00022488028388445436
2020-08-11,173338.59933742002,403153.4859592007,155263.46207364355,85025.52961747961,292962.52830224903,1109743.6052899929,-0.007428961195182993
2020-08-12,172984.53188275042,408774.38534915866,158639.37972199003,86115.19652195009,298932.4055671355,1125445.8990429847,0.014149478923006331
2020-08-13,172938.3586460204,408035.42655400303,157889.17443674785,85762.64536975845,300417.963110115,1125043.5681166449,-0.00035748579890149124
2020-08-14,172938.3586460204,408047.57435352425,156273.3476685339,85794.69847916291,299867.7558152335,1122921.734962475,-0.0018860008752565882
2020-08-17,173123.09004927313,409343.7406813505,157658.32977080203,86724.11305711405,302962.7445194546,1129812.0180779945,0.006136031480190152
2020-08-18,173076.87835621045,410228.0461512886,157485.20547420767,86980.50488109232,305149.8362805114,1132920.4711433104,0.0027513011152102695
2020-08-19,173138.4597635539,408520.0965872963,156763.8726441279,86019.04380398818,303788.0446957748,1128229.517494741,-0.004140585123186602
2020-08-20,173215.47497906582,409792.00612694124,156446.45969464158,85890.8511971248,307240.6369202631,1132585.4289180366,0.003860838026085389
2020-08-21,173523.35637822785,411245.6669290712,155234.61415945448,86307.47551686795,309221.45208424865,1135532.56506787,0.0026021314371391657
2020-08-24,173538.7517300637,415412.9055168992,157542.9013025858,87333.04942303245,310748.3080106501,1144575.9159832313,0.007963973199501151
2020-08-25,173092.31216437896,416866.5275081681,157687.18995547778,88230.41089157914,312715.2996281513,1148591.7401477552,0.003508569513341664
2020-08-26,173138.4597635539,421045.8750846562,159101.0445129083,88198.35778217469,319414.1859480528,1160897.923091346,0.01071414891248268
2020-08-27,172722.77244520822,421966.5075205746,157225.52516455948,87653.5276350652,318946.4892919999,1158514.8220574073,-0.002052808422288055
2020-08-28,172938.3586460204,424692.0778623495,158466.23088442232,88807.29414809309,320913.50244150497,1165817.4639823902,0.006303451441401542
2020-08-31,173215.47497906582,423153.770572182,157023.5406832894,86916.41849303783,322261.55660777277,1162570.7613353478,-0.002784915089495965
2020-09-01,174002.97811872375,427139.219086664,156850.44092766842,88550.90232411484,327268.522659608,1173812.063116779,0.00966934844337497
2020-09-02,174017.64844050148,433317.3260092926,159216.43616966452,88422.70971725145,330913.74019071436,1185887.8605274244,0.010287675335846291
2020-09-03,174033.0694298924,418405.06766350206,155119.2102322116,86692.06655796108,314888.5678427238,1149137.9817262911,-0.030989337208316425
2020-09-04,173416.03757259104,414988.9356703509,155782.87177488662,86756.16616651851,309524.0628666328,1140468.07405098,-0.0075447055211653735
2020-09-08,173647.4421448982,403650.1485485708,153474.4864678619,85057.58272688407,297749.4157425325,1113579.0756307475,-0.023577160143310127
2020-09-09,173246.3169578477,411621.23963184014,157138.95688101897,86211.32940915754,306167.74023144576,1134385.58311131,0.0186843556383971
2020-09-10,173477.70871137732,404474.0255077916,154974.90930883292,84929.3835097692,300404.1826276384,1118260.2096654095,-0.014215072622549507
2020-09-11,173755.38907063488,404679.87831501354,156359.91595207443,85698.54576120102,299310.5080718548,1119804.2371707787,0.0013807408079298256
2020-09-14,173693.67947551596,410010.04554454546,156879.2888418575,87044.60448964975,304115.58953864005,1131743.2078902088,0.010661658817789688
2020-09-15,173570.2731040557,412081.5752552299,158004.5906344774,87941.9725684479,307697.5245103735,1139295.9360725845,0.0066735352416698035
2020-09-16,173601.1407203927,410446.163190615,157860.31425207213,87749.67374277562,303757.40465426823,1133414.6965601237,-0.005162170184451642
2020-09-17,173416.03757259104,406836.20975717984,158177.71493107177,87429.19553074287,299927.5932539873,1125786.7510455728,-0.006730057001820611
2020-09-18,173462.326178319,403855.2776108551,156908.12448555985,86756.16616651851,296194.1375710231,1117176.0320122754,-0.0076486235295452065
2020-09-21,173323.4219048025,397676.65248560923,152987.8099095469,85986.99730483521,296690.08421615296,1106664.9658209467,-0.009408603380432368
2020-09-22,173385.11868114385,401726.6822729451,151665.00687883483,85313.97455086233,301305.23239357205,1113396.0147773582,0.006082282501297165
2020-09-23,173169.1479170052,392410.21268998727,149459.79182383115,84064.06193012402,293383.7158299435,1092486.9301908913,-0.018779557595819174
2020-09-24,172906.90136591616,393456.2042072267,149546.85092683893,83743.57049758833,294017.4457678353,1093670.9727654054,0.0010838047960055608
2020-09-25,173261.72512846114,399817.30433989514,149982.08508944447,83615.37128047347,300519.93868044164,1107196.4245187158,0.012367020877504409
2020-09-28,173416.03757259104,406457.9202941346,152767.5714596333,84480.69947037012,305754.9932492682,1122877.2220459972,0.014162615756366348
2020-09-29,173570.2731040557,404244.30402099923,152622.50976608036,84448.64636096566,304955.9836496729,1119841.7169017738,-0.002703327741115258
2020-09-30,173446.87955137296,407309.2753430072,152129.22393098293,85762.64536975845,307077.53199095046,1125725.556186072,0.005254170473820929
2020-10-01,173833.3087790906,409924.19591981417,153318.87215576254,86627.96694940365,311238.03190666164,1134942.3757107325,0.008187448063173397
2020-10-02,173292.2979129145,406032.2039588372,153260.83275375734,85634.45276289506,305135.08685786073,1123354.8742462648,-0.010209770744714075
2020-10-05,173029.46169805824,413232.39490827377,156017.34850489028,86627.96694940365,311031.36773352063,1139938.5397941465,0.014762623929511998
2020-10-06,172843.92271181993,407357.9441628141,153870.19739286514,86916.41849303783,305754.9932492682,1126743.4760098052,-0.01157524140443933
2020-10-07,172998.56844416613,414448.6496731155,155175.87533970844,87621.4877461637,311816.63991464715,1142061.221117801,0.013594704947608172
2020-10-08,172751.204493811,418121.7095666832,156626.67633253805,88326.54377878661,313139.22172033717,1148965.355892156,0.006045328084599122
2020-10-09,172689.3667109166,421855.62489044014,158135.4921863995,89031.6328626669,318002.28939031146,1159714.4060407346,0.009355417109362829
2020-10-12,172952.16446944023,428642.28611496167,159209.0738776554,89864.90133290763,324849.16517280915,1175517.590967774,0.013626790220698792
2020-10-13,173292.2979129145,425844.91568017006,156684.69119356986,89576.46300977639,324628.7635811993,1170027.1313776302,-0.004670674120345275
2020-10-14,173415.93502237066,423169.06205145153,156249.469301451,89031.6328626669,321887.26578450645,1163753.3650224465,-0.005362069123813207
2020-10-15,173385.01613092347,422646.2409417067,153841.17769186257,88326.54377878661,320220.322640929,1158419.3011842081,-0.004583500248899752
2020-10-16,173354.1100582538,422390.82666487276,154972.7742441503,88775.24764894012,319214.6488681927,1158707.6074844096,0.000248879054334461
2020-10-19,173168.59670957061,415969.02634545934,154247.3921534655,88486.80271555741,314447.9369155351,1146319.754839588,-0.010691094599539208
2020-10-20,172782.11056648064,417635.2154229187,155466.06007924772,89448.270402913,315439.83020579483,1150771.486677355,0.0038834991885750014
2020-10-21,172720.29842114134,416844.6769933743,153783.15056034405,89608.50289867789,314434.2210290701,1147390.849902608,-0.0029377133635001274
2020-10-22,172503.84054345585,419131.25768535904,153841.17769186257,89608.50289867789,314172.39186201507,1149257.1706813704,0.0016265780565714039
2020-10-23,172797.5828309818,420554.1802855056,155262.9467132029,90025.14704917547,315563.8545480841,1154203.7114269498,0.004304119975728993
2020-10-26,172859.40779509864,412782.42178479506,151577.96004631373,88903.42703530056,310494.1227049688,1136617.3393664768,-0.01523680082325407
2020-10-27,173230.43449246502,411359.4215629263,149633.88548887338,89416.21068325707,312161.0227845385,1135800.9750120603,-0.0007182402785369524
2020-10-28,173091.2866621751,397299.5661592578,143859.77484147757,87236.89670507057,300106.69646217517,1101594.220830156,-0.030116855799970588
2020-10-29,172952.16446944023,401337.4869579335,144353.04840608832,88070.15856505983,304225.79033444496,1110938.6487329667,0.008482640636739092
2020-10-30,172318.40410743796,397153.63732155896,143888.7700015068,87300.996313628,297902.4006300265,1098564.2083741582,-0.01113872523286652
2020-11-02,172735.77786415792,401605.08784514986,145948.8865514975,88454.74960615295,298425.8867081056,1107170.388575064,0.007834025663044919
2020-11-03,172566.2167150073,408695.8321663123,150272.25755849708,88486.80271555741,303950.28834493266,1123971.3975003068,0.015174727484236428
2020-11-04,173588.59113717263,417829.85189128557,152361.369268517,91307.08633831234,317341.0200194703,1152427.9186547578,0.02531783390372544
2020-11-05,173573.13169144903,425978.6967183476,156075.38790689548,92813.3907830289,324174.1153194914,1172614.7224192123,0.017516760430464684
2020-11-06,173774.48904918227,425881.3978895947,156597.69344299549,93358.2209301384,324738.96437700425,1174350.765688915,0.001480489061335577
2020-11-09,172798.55705807547,431232.87228186516,161182.14359512497,93967.14407555385,319269.66313807963,1178450.380148699,0.003490962478641668
2020-11-10,172999.94005336383,430600.48811126297,163532.42034368162,92781.34428387592,314571.93972582044,1174486.1325180046,-0.0033639495539847797
2020-11-11,172953.51044108282,433799.24047144846,164954.16482404858,93165.9221044661,320674.9709026369,1185547.8087436827,0.009418311480581476
2020-11-12,173464.6720146104,429590.93999258714,162719.97914998903,92589.0520684551,318580.8758662931,1176945.519091935,-0.007255961833258828
2020-11-13,173759.01678468112,435538.3551568961,165273.3569941038,93550.51314555922,321060.69521995797,1189181.937301198,0.010396758397707373
2020-11-16,173759.01678468112,440975.01938925934,167014.29364452595,94800.41915604605,322741.418846012,1199290.1678205244,0.0085001547721677
2020-11-17,173820.90584268572,438603.4429114873,166985.26167303667,94608.12694062522,322479.61121096084,1196497.3485787958,-0.0023287268724999644
2020-11-18,174006.8678485831,433324.7776946219,166056.80302776714,94383.78822605143,319324.8065999898,1187097.0433970133,-0.007856519860197086
2020-11-19,174409.5825640496,435149.19865274563,167217.40701057078,94608.12694062522,321763.2629742211,1193147.5781422122,0.005096916700158438
2020-11-20,174502.54433883197,432169.41717083054,167130.36017804968,95152.95708773473,319545.2727876113,1188500.551563058,-0.003894762613012026
2020-11-23,174564.49749072432,434760.00333773403,166956.26651300746,95313.20280400256,319848.31421007286,1191442.2843555412,0.0024751631697725873
