date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,balanced_portfolio_value,balanced_portfolio_return
2022-07-29,306444.67283652024,599339.3679910011,91677.28227371137,52809.58823586766,175850.49755526526,1226121.4088923656,0.011402236045646275
2022-08-01,308144.70026116376,597564.5537818273,91528.49853253161,52410.15139624211,175515.54570306884,1225163.4496748338,-0.000781292301548886
2022-08-02,304459.2673917822,593622.2176655397,90040.7723731465,52157.87528008875,174789.80951264195,1215069.942223199,-0.008238498670780414
2022-08-03,305656.8111631947,602918.0204649671,90966.47097694507,52473.21732672507,178474.2906528046,1230488.8105846366,0.012689696144755125
2022-08-04,306539.2301720846,602510.7328202106,91660.744929794,52872.65416635062,179004.6454401182,1232588.007528558,0.0017059862112227542
2022-08-05,303702.9580083239,601492.4005099748,90735.04632599543,52893.67889744972,178334.7309697234,1227158.8147114671,-0.0044047100766271274
2022-08-08,304585.37701721373,600794.0572809499,91065.6492306323,52956.74895933985,178167.26580962713,1227569.0982977632,0.0003343361766849906
2022-08-09,304270.20248767233,598408.3795236484,90635.86807230818,52851.62943525152,176380.84157657693,1222546.9210954574,-0.004091156423919329
2022-08-10,305247.07929808897,610977.3351039711,92735.21418625323,53503.34239103042,181042.2727963138,1243505.2437756574,0.01714316425697615
2022-08-11,303671.43060196604,610977.3351039711,92586.4435335926,53797.66383797481,180288.60959686796,1241321.4826743726,-0.0017561334077322854
2022-08-12,304711.38710860786,621320.5395485909,93131.94683378088,54302.21193887435,183638.17118284001,1257104.256612694,0.01271449351244458
2022-08-15,305247.07929808897,623880.859712321,92189.72397458406,54091.985284919196,184726.7647024784,1260136.4129723916,0.0024120166197416637
2022-08-16,305530.80107180064,625102.9037639421,92321.95073906778,54049.935822720996,184643.0267394293,1261648.6181369608,0.0012000329083439176
2022-08-17,303387.8332458012,620665.8908806767,91379.7213356114,53965.8492925461,183107.79486352255,1252507.089618158,-0.0072457008927745425
