date,ticker_symbol,close_price,dividend,trading_volume,daily_return,dividend_return,total_return
2021-03-24,BOND,102.2226791381836,0.0,136300,0.3010033745256324,0.0,0.3010033745256324
2021-03-25,BOND,102.17617797851562,0.0,194100,-0.04549006155973867,0.0,-0.04549006155973867
2021-03-26,BOND,102.05535125732422,0.0,132200,-0.11825331851501586,0.0,-0.11825331851501586
2021-03-29,BOND,101.85088348388672,0.0,202400,-0.2003498796667169,0.0,-0.2003498796667169
2021-03-30,BOND,101.78579711914062,0.0,166600,-0.06390358386669792,0.0,-0.06390358386669792
2021-03-31,BOND,101.74861907958984,0.0,260800,-0.036525763518124865,0.0,-0.036525763518124865
2021-04-01,BOND,102.06534576416016,0.23,237000,0.31128352152136607,0.22534582945660642,0.5366293509779725
2021-04-05,BOND,102.09326171875,0.0,237700,0.027351060617908374,0.0,0.027351060617908374
2021-04-06,BOND,102.16779327392578,0.0,155100,0.0730034028897153,0.0,0.0730034028897153
2021-04-07,BOND,102.20506286621094,0.0,144600,0.036478807157203086,0.0,0.036478807157203086
2021-04-08,BOND,102.40065002441406,0.0,323100,0.19136738701404088,0.0,0.19136738701404088
2021-04-09,BOND,102.31684112548828,0.0,188800,-0.08184410831942879,0.0,-0.08184410831942879
2021-04-12,BOND,102.23299407958984,0.0,153700,-0.08194843094853077,0.0,-0.08194843094853077
2021-04-13,BOND,102.5217514038086,0.0,141400,0.28245022736392844,0.0,0.28245022736392844
2021-04-14,BOND,102.512451171875,0.0,231700,-0.009071471962041056,0.0,-0.009071471962041056
2021-04-15,BOND,102.95956420898438,0.0,216800,0.43615485923726993,0.0,0.43615485923726993
2021-04-16,BOND,102.875732421875,0.0,220700,-0.0814220492806439,0.0,-0.0814220492806439
2021-04-19,BOND,102.68011474609375,0.0,154200,-0.1901494853801422,0.0,-0.1901494853801422
2021-04-20,BOND,102.82915496826172,0.0,168700,0.145150034684427,0.0,0.145150034684427
2021-04-21,BOND,102.95956420898438,0.0,129300,0.1268212704489402,0.0,0.1268212704489402
2021-04-22,BOND,102.97821044921875,0.0,156100,0.018110255591730073,0.0,0.018110255591730073
2021-04-23,BOND,103.03412628173828,0.0,171600,0.05429870287667615,0.0,0.05429870287667615
2021-04-26,BOND,102.92230987548828,0.0,177000,-0.10852366131998137,0.0,-0.10852366131998137
2021-04-27,BOND,102.67078399658203,0.0,185700,-0.2443842148612263,0.0,-0.2443842148612263
2021-04-28,BOND,102.7173843383789,0.0,158200,0.04538812306957851,0.0,0.04538812306957851
2021-04-29,BOND,102.8385009765625,0.0,253700,0.11791250231276695,0.0,0.11791250231276695
2021-04-30,BOND,102.810546875,0.0,171800,-0.027182525315949668,0.0,-0.027182525315949668
2021-05-03,BOND,102.9132080078125,0.24,270200,0.09985467049145047,0.23320621778866396,0.33306088828011443
2021-05-04,BOND,102.93189239501953,0.0,234000,0.01815548030104086,0.0,0.01815548030104086
2021-05-05,BOND,103.0532455444336,0.0,122100,0.1178965494468498,0.0,0.1178965494468498
2021-05-06,BOND,103.15593719482422,0.0,198200,0.09964911813120647,0.0,0.09964911813120647
2021-05-07,BOND,103.15593719482422,0.0,138800,0.0,0.0,0.0
2021-05-10,BOND,102.95057678222656,0.0,342400,-0.1990776470866651,0.0,-0.1990776470866651
2021-05-11,BOND,102.5958251953125,0.0,249100,-0.344584360769995,0.0,-0.344584360769995
2021-05-12,BOND,102.40911865234375,0.0,186700,-0.18198259296936525,0.0,-0.18198259296936525
2021-05-13,BOND,102.53981018066406,0.0,172200,0.12761708140851535,0.0,0.12761708140851535
2021-05-14,BOND,102.70782470703125,0.0,112200,0.16385297190542047,0.0,0.16385297190542047
2021-05-17,BOND,102.6331558227539,0.0,101500,-0.07270028791899197,0.0,-0.07270028791899197
2021-05-18,BOND,102.55848693847656,0.0,206400,-0.07275317969009931,0.0,-0.07275317969009931
2021-05-19,BOND,102.49313354492188,0.0,130600,-0.06372304770242421,0.0,-0.06372304770242421
2021-05-20,BOND,102.70782470703125,0.0,141700,0.20946882457768545,0.0,0.20946882457768545
2021-05-21,BOND,102.81053924560547,0.0,118200,0.10000653686046412,0.0,0.10000653686046412
2021-05-24,BOND,102.89452362060547,0.0,101400,0.08168848798602024,0.0,0.08168848798602024
2021-05-25,BOND,103.09991455078125,0.0,83900,0.1996130823571418,0.0,0.1996130823571418
2021-05-26,BOND,103.10923767089844,0.0,122700,0.009042801012792978,0.0,0.009042801012792978
2021-05-27,BOND,102.96923828125,0.0,79400,-0.13577773709789742,0.0,-0.13577773709789742
2021-05-28,BOND,102.97857666015625,0.0,116700,0.009069095840774644,0.0,0.009069095840774644
2021-06-01,BOND,102.97855377197266,0.24,118300,-2.2226160367733172e-05,0.23305823514616109,0.23303600898579335
2021-06-02,BOND,103.01598358154297,0.0,91000,0.03634718900131784,0.0,0.03634718900131784
2021-06-03,BOND,102.95987701416016,0.0,100500,-0.054463943780536095,0.0,-0.054463943780536095
2021-06-04,BOND,103.14698028564453,0.0,108100,0.18172445122350833,0.0,0.18172445122350833
2021-06-07,BOND,103.20310974121094,0.0,227900,0.05441696442394228,0.0,0.05441696442394228
2021-06-08,BOND,103.26860809326172,0.0,89300,0.06346548298303833,0.0,0.06346548298303833
2021-06-09,BOND,103.46504974365234,0.0,101800,0.19022397417540748,0.0,0.19022397417540748
2021-06-10,BOND,103.68025970458984,0.0,105200,0.2080025684718656,0.0,0.2080025684718656
2021-06-11,BOND,103.80186462402344,0.0,85300,0.11728840164952903,0.0,0.11728840164952903
2021-06-14,BOND,103.6989517211914,0.0,88000,-0.09914359747272838,0.0,-0.09914359747272838
2021-06-15,BOND,103.49314880371094,0.0,100000,-0.19846190734289504,0.0,-0.19846190734289504
2021-06-16,BOND,103.2311782836914,0.0,137500,-0.25312836941158157,0.0,-0.25312836941158157
2021-06-17,BOND,103.5118408203125,0.0,98300,0.27187768393943657,0.0,0.27187768393943657
2021-06-18,BOND,103.66152954101562,0.0,169800,0.14461023928939998,0.0,0.14461023928939998
2021-06-21,BOND,103.67090606689453,0.0,241600,0.009045328503654027,0.0,0.009045328503654027
2021-06-22,BOND,103.70832061767578,0.0,226100,0.03608973066862031,0.0,0.03608973066862031
2021-06-23,BOND,103.5866928100586,0.0,170100,-0.11727873606744987,0.0,-0.11727873606744987
2021-06-24,BOND,103.65219116210938,0.0,100000,0.06323046935274856,0.0,0.06323046935274856
2021-06-25,BOND,103.50249481201172,0.0,141300,-0.14442179023841373,0.0,-0.14442179023841373
2021-06-28,BOND,103.66152954101562,0.0,99400,0.15365303927481477,0.0,0.15365303927481477
2021-06-29,BOND,103.67090606689453,0.0,130500,0.009045328503654027,0.0,0.009045328503654027
2021-06-30,BOND,103.81121063232422,0.0,741100,0.13533649000729842,0.0,0.13533649000729842
2021-07-01,BOND,103.74560546875,0.24,187500,-0.06319660774073421,0.23133509984892053,0.16813849210818632
2021-07-02,BOND,103.94248962402344,0.0,108300,0.18977589882853696,0.0,0.18977589882853696
2021-07-06,BOND,104.14876556396484,0.0,186400,0.1984519907956228,0.0,0.1984519907956228
2021-07-07,BOND,104.44880676269531,0.0,132500,0.2880890590548413,0.0,0.2880890590548413
2021-07-08,BOND,104.5331802368164,0.0,134800,0.08077973960276541,0.0,0.08077973960276541
2021-07-09,BOND,104.34565734863281,0.0,161700,-0.17939078076335546,0.0,-0.17939078076335546
2021-07-12,BOND,104.2425308227539,0.0,144200,-0.0988316413919832,0.0,-0.0988316413919832
2021-07-13,BOND,104.01751708984375,0.0,131100,-0.21585597657135525,0.0,-0.21585597657135525
2021-07-14,BOND,104.32691192626953,0.0,79500,0.2974449353165598,0.0,0.2974449353165598
2021-07-15,BOND,104.6175765991211,0.0,196800,0.27860948578348754,0.0,0.27860948578348754
2021-07-16,BOND,104.59880065917969,0.0,98400,-0.017947213605751244,0.0,-0.017947213605751244
2021-07-19,BOND,104.8238296508789,0.0,229700,0.2151353459897143,0.0,0.2151353459897143
2021-07-20,BOND,105.00196838378906,0.0,326000,0.16994106540799692,0.0,0.16994106540799692
2021-07-21,BOND,104.73944854736328,0.0,153400,-0.25001420493971915,0.0,-0.25001420493971915
2021-07-22,BOND,104.83320617675781,0.0,83800,0.08951510695813791,0.0,0.08951510695813791
2021-07-23,BOND,104.80509185791016,0.0,114300,-0.026818142717344173,0.0,-0.026818142717344173
2021-07-26,BOND,104.78631591796875,0.0,85100,-0.017915102795640347,0.0,-0.017915102795640347
2021-07-27,BOND,104.87071990966797,0.0,107300,0.0805486775251163,0.0,0.0805486775251163
2021-07-28,BOND,104.9551010131836,0.0,164000,0.08046202370719513,0.0,0.08046202370719513
2021-07-29,BOND,104.91758728027344,0.0,92900,-0.03574264856878173,0.0,-0.03574264856878173
2021-07-30,BOND,104.94573211669922,0.0,84700,0.026825661126372857,0.0,0.026825661126372857
2021-08-02,BOND,105.21821594238281,0.24,128300,0.2596425983103279,0.22809738584754496,0.48773998415787284
2021-08-03,BOND,105.32156372070312,0.0,112300,0.09822232528340358,0.0,0.09822232528340358
2021-08-04,BOND,105.31217193603516,0.0,252700,-0.008917247652029392,0.0,-0.008917247652029392
2021-08-05,BOND,105.19003295898438,0.0,84300,-0.1159780249570419,0.0,-0.1159780249570419
2021-08-06,BOND,104.83295440673828,0.0,145200,-0.33946044335334546,0.0,-0.33946044335334546
2021-08-09,BOND,104.52288818359375,0.0,135200,-0.2957717111944702,0.0,-0.2957717111944702
2021-08-10,BOND,104.42893981933594,0.0,108200,-0.08988305421946396,0.0,-0.08988305421946396
2021-08-11,BOND,104.50410461425781,0.0,141300,0.07197697788745572,0.0,0.07197697788745572
2021-08-12,BOND,104.51351928710938,0.0,125200,0.009008902460161394,0.0,0.009008902460161394
2021-08-13,BOND,104.76720428466797,0.0,124300,0.24272936103288956,0.0,0.24272936103288956
2021-08-16,BOND,104.94571685791016,0.0,123300,0.17038974597158862,0.0,0.17038974597158862
2021-08-17,BOND,104.87997436523438,0.0,210700,-0.06264428377271702,0.0,-0.06264428377271702
2021-08-18,BOND,104.79536437988281,0.0,106500,-0.08067315601825165,0.0,-0.08067315601825165
2021-08-19,BOND,105.0396957397461,0.0,139200,0.23315092352518274,0.0,0.23315092352518274
2021-08-20,BOND,105.03028869628906,0.0,216100,-0.008955703261304127,0.0,-0.008955703261304127
2021-08-23,BOND,105.06786346435547,0.0,160600,0.03577517355499715,0.0,0.03577517355499715
2021-08-24,BOND,104.93632507324219,0.0,191800,-0.12519374314479137,0.0,-0.12519374314479137
2021-08-25,BOND,104.72962188720703,0.0,136700,-0.19697963111523498,0.0,-0.19697963111523498
2021-08-26,BOND,104.6638412475586,0.0,175300,-0.0628099657604797,0.0,-0.0628099657604797
2021-08-27,BOND,104.82355499267578,0.0,137800,0.15259686938053907,0.0,0.15259686938053907
2021-08-30,BOND,105.0490951538086,0.0,128400,0.21516171737216983,0.0,0.21516171737216983
2021-08-31,BOND,104.92692565917969,0.0,120800,-0.11629752207767963,0.0,-0.11629752207767963
2021-09-01,BOND,104.92692565917969,0.24,127100,0.0,0.22873061275002032,0.22873061275002032
2021-09-02,BOND,105.11524200439453,0.0,135200,0.1794738042993238,0.0,0.1794738042993238
2021-09-03,BOND,104.97403717041016,0.0,107700,-0.1343333576480532,0.0,-0.1343333576480532
2021-09-07,BOND,104.71033477783203,0.0,134600,-0.2512072505604812,0.0,-0.2512072505604812
2021-09-08,BOND,104.9175033569336,0.0,157900,0.197849218552415,0.0,0.197849218552415
2021-09-09,BOND,105.0587387084961,0.0,125400,0.13461562374583735,0.0,0.13461562374583735
2021-09-10,BOND,105.00228118896484,0.0,104900,-0.05373900374713303,0.0,-0.05373900374713303
2021-09-13,BOND,105.10586547851562,0.0,101300,0.09864956111227396,0.0,0.09864956111227396
2021-09-14,BOND,105.25650787353516,0.0,136300,0.1433244418222568,0.0,0.1433244418222568
2021-09-15,BOND,105.29415893554688,0.0,173000,0.035770768736642644,0.0,0.035770768736642644
2021-09-16,BOND,105.06819152832031,0.0,126100,-0.2146058333253653,0.0,-0.2146058333253653
2021-09-17,BOND,104.9175033569336,0.0,169800,-0.143419401433309,0.0,-0.143419401433309
2021-09-20,BOND,105.11524200439453,0.0,134200,0.1884705994082081,0.0,0.1884705994082081
2021-09-21,BOND,105.22824096679688,0.0,163800,0.10750007348849788,0.0,0.10750007348849788
2021-09-22,BOND,105.20944213867188,0.0,126100,-0.017864812670331798,0.0,-0.017864812670331798
2021-09-23,BOND,104.80451202392578,0.0,113400,-0.38488001315735154,0.0,-0.38488001315735154
2021-09-24,BOND,104.5031967163086,0.0,142800,-0.2875022284807738,0.0,-0.2875022284807738
2021-09-27,BOND,104.41844940185547,0.0,124000,-0.08109542781087331,0.0,-0.08109542781087331
2021-09-28,BOND,104.00411987304688,0.0,232000,-0.3967972433818079,0.0,-0.3967972433818079
2021-09-29,BOND,104.15478515625,0.0,260100,0.14486472592338817,0.0,0.14486472592338817
2021-09-30,BOND,104.0982894897461,0.0,359900,-0.05424202682493551,0.0,-0.05424202682493551
2021-10-01,BOND,104.45689392089844,0.24,204800,0.3444863819666022,0.22975984733161187,0.574246229298214
2021-10-04,BOND,104.47575378417969,0.0,181800,0.01805516378414751,0.0,0.01805516378414751
2021-10-05,BOND,104.17379760742188,0.0,209800,-0.28902033804090177,0.0,-0.28902033804090177
2021-10-06,BOND,104.04167175292969,0.0,217200,-0.12683213776087943,0.0,-0.12683213776087943
2021-10-07,BOND,103.91899108886719,0.0,126100,-0.11791492965802508,0.0,-0.11791492965802508
2021-10-08,BOND,103.63589477539062,0.0,203600,-0.2724201904870993,0.0,-0.2724201904870993
2021-10-11,BOND,103.42826843261719,0.0,194000,-0.2003421143064621,0.0,-0.2003421143064621
2021-10-12,BOND,103.758544921875,0.0,175400,0.31932903282914094,0.0,0.31932903282914094
2021-10-13,BOND,103.92842102050781,0.0,98500,0.16372251438252494,0.0,0.16372251438252494
2021-10-14,BOND,104.1454849243164,0.0,154600,0.20885904132592614,0.0,0.20885904132592614
2021-10-15,BOND,103.97560119628906,0.0,175000,-0.16312154881299445,0.0,-0.16312154881299445
2021-10-18,BOND,103.843505859375,0.0,88000,-0.12704455217785737,0.0,-0.12704455217785737
2021-10-19,BOND,103.56038665771484,0.0,183300,-0.27264025739226483,0.0,-0.27264025739226483
2021-10-20,BOND,103.50375366210938,0.0,116500,-0.05468596384508029,0.0,-0.05468596384508029
2021-10-21,BOND,103.43771362304688,0.0,88700,-0.06380448701222008,0.0,-0.06380448701222008
2021-10-22,BOND,103.43771362304688,0.0,170100,0.0,0.0,0.0
2021-10-25,BOND,103.52265167236328,0.0,95700,0.0821151650991947,0.0,0.0821151650991947
2021-10-26,BOND,103.56982421875,0.0,262400,0.04556736677883144,0.0,0.04556736677883144
2021-10-27,BOND,103.80573272705078,0.0,251000,0.2277772604909689,0.0,0.2277772604909689
2021-10-28,BOND,103.85293579101562,0.0,208000,0.045472502071697285,0.0,0.045472502071697285
2021-10-29,BOND,103.843505859375,0.0,188700,-0.009080081914680793,0.0,-0.009080081914680793
2021-11-01,BOND,103.82457733154297,0.23,230900,-0.018227936042203297,0.22152750910368857,0.20329957306148527
2021-11-02,BOND,103.96643829345703,0.0,189300,0.13663524144293948,0.0,0.13663524144293948
2021-11-03,BOND,103.80565643310547,0.0,162900,-0.15464784885458327,0.0,-0.15464784885458327
